股票代號,股票名稱,2020股利,2019股利,2018股利,2017股利,2016股利,2015股利
1103,嘉泥,1.4,1.0018628,1,0.5,0.2,
3290,東浦,0.2,0.5,1,0.3,0.3,
4129,聯合骨,0.83391139,0.82053876,2.00044757,1.25974555,1.38757647,
4183,福永,1.2,0.7,0.7,0.3,0.8,
6151,晉倫,1.8,1,1.3,2,2.2,
1264,德麥,13,11.0039187,11,10.5,11,
1724,台硝,0.25,0.5,0.5,0.6,1,
1336,台翰,1.5,1.2,0.79029458,0.6,0,
2472,立隆,3,1.50011609,2.3,2.2,2.4,
3052,夆典,0.8,0.50558162,0,0.7,0.3,
3444,利機,1.8,1.8,1,1,1,
6188,廣明,1,2,1.5,1.2,1.5,
3038,全台,1.2,1.2,0.5,0.4082768,0.40852705,
1220,台榮,1,0.6,0.46,0.4,0.65,
1710,東聯,0,0.3,1.75,1.75,0.2,
9904,寶成,0.5,1.25,1.5,2,1.5,
1419,新光紡,1,1,0.84752263,3.72611177,0.456193,
3581,博磊,0.9,0.7,0.7,1,1,
4933,友輝,2.2,1.0853861,1.61420573,0.8,1.35,
8064,東捷,0.2,1,1,0,0.85021188,
8176,智捷,0,0.15,0.6,0.55,0.3,
5289,宜鼎,6.8,7.7,6.2,5.90436183,4.36763551,
2905,三商行,1,2,0.5,1.6,1.4,
4566,時碩工業,1.20168177,1.64415176,1.99420634,2.39,1,
8043,蜜望實,0.2,0.5,2.6,0.8,1,
2233,宇隆,3.75,3.3,4,6.01111492,5,
2520,冠德,3.4,1.5,1,0.5,1.1,
5460,同協,0.1,0.55,0.3,0.5,0.65,
6217,中探針,1.05,1.0284824,0.69857665,1.6,1.8,
6464,台數科,3.2,4.215460788,5.60691479,5.1,2.4,
6662,樂斯科,2,1.9,1.85,2.35,,
3672,康聯訊,0.25,0.205233495,0.3,0.6,1.82934318,
1535,中宇,1.35,1.2,1.1,1.25,1.8,
4721,美琪瑪,1.39,2.44,2.8,2.4,1.55,
5278,尚凡,2.78622937,2.78622937,10.89959684,3.46301671,2.22153382,
2889,國票金,1,0.822889293,0.55,0.77,0.694864409,
1410,南染,0.9,1,1.3,1.4,1.45,
4533,協易機,0.2,0.25,0.45,0.45,0.6,
5706,鳳凰,0.3,1.262793996,2.11,3,2,
9926,新海瓦,1.8,1.7,1.5,1.6,1.6,
4735,豪展,1.5,1.5,9,3,6,
2105,正新,1.2,1,1.1,1.8,3,
2107,厚生,1.5,0.81793378,0.68,0.65,0.55361871,
3217,優群,5.6,4.3,3,2.55,2,
8299,群聯,23,13,13,17,14,
8420,明揚,0.8,1.3,0.8,0.5,1.2,
4930,燦星網,3.5,0.5,0,0,0.3,
6121,新普,19.1,14.5,11.5,10,6,
6414,樺漢,5,4.91665602,7,8.87765192,10.11987804,
2468,華經,0.4,0.5,0.5,0.4,0.5,
4736,泰博,11.5,6.43238432,7.99205,4.904033,5.5,
3583,辛耘,1.85,2,2.5,2,2.02019221,
8088,品安,1.2,2.08,0.44,0.190721543,1.05852374,
4510,高鋒,0,0,0.65,0.55,0.7,
4568,科際精密,4,3.2283619,4.47700675,4.43107221,,
5487,通泰,1.1,0.97846552,0.88276278,1.47409374,2,
2317,鴻海,4,4.2,4,2,4.5,
8931,大汽電,1.4,1.1,1.1,0.9,0.8,
1507,永大,1.9,2.2,1.8,2,2.4,
2634,漢翔,0.2,1.19,1.34,1.13,1.37,
3093,港建,4.2,1.6,1.3,0.55,1.82,
2731,雄獅,0,2,3.8,5.2,4,
4107,邦特,4,4,4,3.5,3,
2012,春雨,0.6,1.2,1.3,0.75,0.75,
8354,冠郝,0.3,0.7,1.8,1.5,0.5,
1605,華新麗華,0.9,0.50608642,1.2,1,0.7,
4116,明基醫,1,1.35,1.35,1,0.69613607,
4744,皇將,1.2,1.63532339,1.5,1,2,
6173,信昌電,2,1.8,4.3,1.5,0.301982,
1701,中化,1,0.8,0.8,0.6,0.6,
2383,台光電,7,5.76191933,3.8,4.8,4.6982618,
2477,美隆電,1.45,1.6,0.86,1.3,0,
6005,群益證,1.1,0.8,0.4,0.9,0.37,
1470,大統新創,0.42,0.8,0.4,0.5,0.55,
2231,為升,1.2,7.19694417,8.165761129,8.76688714,9.5,
3346,麗清,0.16,0,1.4957173,2.5,3,
3284,太普高,0,0,0.3,1.03706326,0.7,
4555,氣立,1.5,1.2,2,2,2,
9918,欣天然,1.6,1.35,1.15,1.2,1.15,
2614,東森,0.8,1,1,0,0,
8905,裕國,0.3,1,1,1,1,
9908,大台北,1.1,1.1,1.1,1.1,1,
1473,台南,0.2,0.5,0.5,0.50342913,1.2,
3380,明泰,1,0.44053987,1.0003738,1,1.04,
3527,聚積,2,4.14563043,5,2.72259174,4.00000003,
6183,關貿,1.81,1.75,1.66,1.5,1.22,
6194,育富,1.5,1.1,0.75,0.75,0.75,
2453,凌群,1.5,1,0.5,0.7,0.5,
2633,高鐵,1.05,1.2101,1.12,0.75,0.6,
1599,宏佳騰,2,1.03673655,3,1.01299621,4,
3022,威強電,2,1.0039185,1.5,0.5,3,
6148,驊宏資,0.810448,0.3157629,0.999698,0,0,
6175,立敦,1.0751945,0.50067926,1.5,2,0.5,
3703,欣陸,1.4,0.5,0.9,0.6,0.5,
5478,智冠,6,4.01768135,2.2,2,2,
6155,鈞寶,0.75,1.04,1,0.45,0.85,
6425,易發,0.5,0.51292656,3,2.1,0.49191854,
1525,江申,2.2,2,1.8,2.4,2.3,
1531,高林股,0.2,0.20152498,0.5,0.8,0.6,
4536,拓凱,5,6,5.5,3,6,
1232,大統益,6,5,5,5,5,
3338,泰碩,1.8,2.08640598,1.2,0.3004948,2.19749455,
6026,福邦證,0.8,0.69945879,0.2,1.38,0.35,
6213,聯茂,5,5,3.8,3.1,2.5,
6224,聚鼎,4.25,4,3.75,3,4.55,
3021,衛展,0.7,0.40779986,0.75,0.75,0.7,
3691,碩禾,2,2,0,5,15.18675597,
4207,環泰,0.65,0.3734023,0.7,1.05,0,
2855,統一證,1.9,1.2,0.69906901,1.2,0.41,
2881,富邦金,4,2,2,2.3,2,
2888,新光金,0.4,0.38812476,0.2,0.480038273,0.20398877,
4543,萬在,0,0.71154052,0.99859575,0.3,0.39989425,
6527,明達醫,1.4,2.55,1.72705463,1.00516189,1,
1617,榮星,0.6,0.3,1,0.6,0.39999999,
4905,台聯電,1,1.52064834,2.54752526,2.07224996,1.04965188,
4908,前鼎,1.1,1.1,0.86,0.80778607,0.65023026,
9946,三發,0.8,0.8,1.654442,1,1.35,
1731,美吾華,1,0.6,0.5,0.6,0.55,
6438,迅得,4.3,1.5252951,2.8,4,2,
3050,鈺德,0.6,0.5,0.3,0.6,0.3,
6212,理銘,3,0,3,1.5,1.5,
1203,味王,1.1,1,1,1.3,1,
8099,大世科,1.35,1.05,1.02,1.62,1.14,
8921,沈氏,0.418,0.6,0.35,0.259,0.79,
2727,王品,4.3040913,4.44368774,4.39326387,5.5,3.5,
3285,微端,0.35,0.2,1.2,0.4644,1,
8341,日友,8.2,8,6.5,6,4.5,
3272,東碩,1.8,0.8,1,1.35,1.49,
5820,日盛金,0.5501477,0.5444997,0.8611186,0.7364611,0.07965868,
2376,技嘉,5,2.2,3,4,2.59962839,
8103,瀚荃,1.4,1.03098029,1,1,1.8,
3014,聯陽,6,3.3,2.700234,2.501093,2.934933,
6411,晶焱,5.1,4.7985,4.76118,3.8,2.4,
