股票代號,股票名稱,2020股利,2019股利,2018股利,2017股利,2016股利,2015股利
5263,智崴,0,5.6,4.5,6,2.5,
5903,全家,7.5,6.5,5.8,5.5,5.2,
8071,能率網通,0.2,0.5,0.42,0.15,0.2,
8240,華宏,1.6,1.3,0.85,0,0,
2415,錩新,0.5,0.5,1.5,1,0.9,
4909,新復興,0.3,0.3,0.7,0.6,1.2,
2455,全新,2.59,2.50002704,2.5,2.5,2.53079561,
4541,晟田,0.2,0.71916417,1.09465232,0.3,0.3,
8443,阿瘦,0.15,0.15,0.43,0.28,0.3,
4919,新唐,0.8,1.2,2.5,2.5,2.4,
5905,南仁湖,0.2,0.2,0.42971283,0.35,0.3,
1454,台富,0.2,0.2586209,0.2,0.2,0.3,
2515,中工,0.233,0.201,0.197,0.187,0.194,
1711,永光,0.3,0.3,0.5,0.5,0.5,
2706,第一店,0.15,0.45,0.45,0.553,1,
3002,歐格,0.1,0.47,0,0.25,0.5,
3081,聯亞,5,4.00006598,5.00093457,5,8,
8463,潤泰材,0.77,0.49,0.7,0.83,1.1,
2103,台橡,0.36,0.5,0.98,0.96,1,
2395,研華,7.1,8.787955,6.79567182,6.59515558,7.29734883,
4205,中華食,3,3,2.8,3,2.6,
6234,高僑,0.6,1.2,0.6,0.3,0.5,
3221,台嘉碩,0.2,0.19966648,0.41766039,0.47857324,0.99912881,
2489,瑞軒,0.13146157,0,0,0,1.7,
6133,金橋,0,0.25,0.25,0.25,0.2,
9910,豐泰,3.7,6,7.7,5,5.2,
2745,五福,0,0.3,0.3,1.764437,0.29654184,
3062,建漢,0.15,0.15,0.4,0.3501555,0.80022874,
6230,超眾,1.36,4.87,4.7,3.95,7.5,
8076,伍豐,0.5,1.00857947,1,1,1.00000001,
2316,楠梓電,1.5,0.5,1,0,0,
5291,邑昇,1.1,1.20694049,0.79999999,0,0,
912398,友佳,0.2244672,0.2244672,0.281175,0.281175,0.2257296,
1108,幸福,0.7,0.15,0,0,0.6,
8110,華東,0.2,0,0.3,0.85,0.249954,
8215,明基材,0.7,0.5,0.6,0.9,0,
